step,pair,hasManifold,contactCount,penetration,normalX,normalY,normalZ,hasOrientedManifold,orientedContactCount,orientedPenetration,orientedNormalX,orientedNormalY,orientedNormalZ,axisContact,axisPenetration,axisIndex,firstUpY,secondUpY,firstPositionX,firstPositionY,secondPositionX,secondPositionY
4,box02-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.99999994,0.9999995,0.0005783709,1.4937857,-0.00022787295,3.490621
4,box03-box04,true,4,0.0020637512,0,-1,0,true,4,0.0016193986,0.00044438266,-0.9999998,0.0004451635,true,0.0020637512,1,0.9999998,0.9999995,0.0004733893,2.4916718,-0.00022787295,3.490621
5,ground-box01,true,4,0,0,-1,0,true,4,0,-0,-1,-0,true,0,1,1,0.9999999,0,-0.5,0.00026751467,0.5002874
5,ground-box02,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.9999999,0,-0.5,0.00070021336,1.4922696
5,ground-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.99999964,0,-0.5,0.00056718575,2.4896197
5,ground-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.9999996,0,-0.5,-0.00014973793,3.4883497
5,box01-box02,true,4,0.008617878,0,-1,0,true,1,0.008617699,-0.0005349094,-0.99999976,0.0004363208,true,0.008617878,1,0.9999999,0.9999999,0.00026751467,0.5002874,0.00070021336,1.4922696
5,box01-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.9999999,0.99999964,0.00026751467,0.5002874,0.00056718575,2.4896197
5,box01-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.9999999,0.9999996,0.00026751467,0.5002874,-0.00014973793,3.4883497
5,box02-box03,true,4,0.0035313368,0,-1,0,true,4,0.0029058456,0.00018927784,-0.9999999,0.00043632073,true,0.0035313368,1,0.9999999,0.99999964,0.00070021336,1.4922696,0.00056718575,2.4896197
5,box02-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.9999999,0.9999996,0.00070021336,1.4922696,-0.00014973793,3.4883497
5,box03-box04,true,4,0.002336979,0,-1,0,true,4,0.0017570853,0.0009144218,-0.9999996,8.2485334E-05,true,0.002336979,1,0.99999964,0.9999996,0.00056718575,2.4896197,-0.00014973793,3.4883497
6,ground-box01,true,4,0,0,-1,0,true,4,0,-0,-1,-0,true,0,1,1,0.9999998,0,-0.5,0.00029283424,0.50030017
6,ground-box02,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.9999998,0,-0.5,0.0008827924,1.4910402
6,ground-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.9999996,0,-0.5,0.0007843001,2.4879034
6,ground-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.99999946,0,-0.5,-4.0516505E-05,3.486451
6,box01-box02,true,4,0.009898305,0,-1,0,true,1,0.009897947,-0.0005855195,-0.99999964,0.0005917294,true,0.009898305,1,0.9999998,0.9999998,0.00029283424,0.50030017,0.0008827924,1.4910402
6,box01-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.9999998,0.9999996,0.00029283424,0.50030017,0.0007843001,2.4879034
6,box01-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.9999998,0.99999946,0.00029283424,0.50030017,-4.0516505E-05,3.486451
6,box02-box03,true,4,0.004134178,0,-1,0,true,1,0.0034577847,8.465422E-05,-0.99999976,0.0007109868,true,0.004134178,1,0.9999998,0.9999996,0.0008827924,1.4910402,0.0007843001,2.4879034
6,box02-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.9999998,0.99999946,0.0008827924,1.4910402,-4.0516505E-05,3.486451
6,box03-box04,true,4,0.002752781,0,-1,0,true,1,0.0018820763,0.0010199633,-0.9999993,0.0007109862,true,0.002752781,1,0.9999996,0.99999946,0.0007843001,2.4879034,-4.0516505E-05,3.486451
