step,pairA,pairB,contactIndex,featureId,depth,offsetX,offsetY,offsetZ,normalX,normalY,normalZ
5,0,0,0,-4,0.0013191579,-0.49995258,-0.49869186,-0.5000364,-4.755124E-13,1,0
5,0,0,1,-21,0.0012971285,0.50004745,-0.49869186,0.49996358,-4.755124E-13,1,0
5,0,0,2,-5,0.0013919936,-0.49995258,-0.49869186,0.49996358,-4.755124E-13,1,0
5,0,0,3,-20,0.0012242928,0.50004745,-0.49869186,-0.5000364,-4.755124E-13,1,0
6,2,3,0,30,0.00068460184,-0.5002057,0.4993661,-0.49967107,0.000459668,-0.9999998,-0.00051355996
6,2,3,1,111,0.0005680164,0.4997676,0.49938107,0.5002565,0.000459668,-0.9999998,-0.00051355996
6,2,3,2,-5,0.0006157831,-0.5002056,0.4989214,0.50025636,0.000459668,-0.9999998,-0.00051355996
6,2,3,3,94,0.0006368351,0.4997674,0.49982575,-0.49967107,0.000459668,-0.9999998,-0.00051355996
6,0,1,0,109,0.0019331161,-0.49995813,0.49805504,-0.5000175,-1.2277542E-05,-1,0.00026345794
6,0,1,1,62,0.0018168825,0.50000614,0.49819496,0.49990627,-1.2277542E-05,-1,0.00026345794
6,0,1,2,126,0.0017056278,-0.49995804,0.4983185,0.49990627,-1.2277542E-05,-1,0.00026345794
6,0,1,3,-20,0.0020443709,0.50000614,0.4979315,-0.5000174,-1.2277542E-05,-1,0.00026345794
6,1,2,0,111,0.001907022,0.50005573,0.4981629,0.49986258,-0.0001235363,-0.99999994,0.0002634579
6,1,2,1,-4,0.001665442,-0.49993846,0.49826458,-0.5001313,-0.0001235363,-0.99999994,0.0002634579
6,1,2,2,47,0.0011300086,0.5000556,0.49867648,-0.5001315,-0.0001235363,-0.99999994,0.0002634579
6,1,2,3,126,0.0024424554,-0.49993852,0.497751,0.49986252,-0.0001235363,-0.99999994,0.0002634579
6,0,0,0,-4,0.0011505246,-0.50000614,-0.4988613,-0.499982,6.6423803E-13,1,0
6,0,0,1,-21,0.0011268498,0.49999383,-0.4988613,0.500018,6.6423803E-13,1,0
6,0,0,2,-5,0.0011145723,-0.50000614,-0.4988613,0.500018,6.6423803E-13,1,0
6,0,0,3,-20,0.0011628021,0.49999383,-0.4988613,-0.499982,6.6423803E-13,1,0
7,2,3,0,30,0.0006965247,-0.50023234,0.4992817,-0.49965775,0.00067845767,-0.9999997,-0.0004222491
7,2,3,1,111,0.00060019747,0.49968946,0.4994213,0.5002109,0.00067845767,-0.9999997,-0.0004222491
7,2,3,2,-5,0.0008131199,-0.5002321,0.4987429,0.5002107,0.00067845767,-0.9999997,-0.0004222491
7,2,3,3,94,0.00048360223,0.49968922,0.4999601,-0.49965763,0.00067845767,-0.9999997,-0.0004222491
7,0,1,0,109,0.0018809354,-0.49984464,0.49814385,-0.50004345,6.373318E-05,-1,8.723095E-05
7,0,1,1,62,0.0017766268,0.5000685,0.49819857,0.49981686,6.373318E-05,-1,8.723095E-05
7,0,1,2,126,0.0019771443,-0.49984464,0.49813485,0.49981686,6.373318E-05,-1,8.723095E-05
7,0,1,3,-20,0.0016804178,0.50006855,0.49820757,-0.5000435,6.373318E-05,-1,8.723095E-05
7,1,2,0,111,0.0015113789,0.49996242,0.498516,0.4999983,6.373318E-05,-1,-8.991394E-06
7,1,2,1,-4,0.0014999068,-0.5000317,0.49847272,-0.49999553,6.373318E-05,-1,-8.991394E-06
7,1,2,2,47,0.0010981237,0.4999623,0.49893823,-0.49999553,6.373318E-05,-1,-8.991394E-06
7,1,2,3,126,0.0019131621,-0.50003177,0.49805048,0.49999824,6.373318E-05,-1,-8.991394E-06
7,0,0,0,-21,0.0012016194,0.4999316,-0.49882317,0.50004363,-3.74904E-12,1,-7.275958E-12
7,0,0,1,-4,0.0011520487,-0.50006837,-0.49882317,-0.49995646,-3.74904E-12,1,-7.275958E-12
7,0,0,2,-20,0.0012888504,0.49993166,-0.49882317,-0.4999564,-3.74904E-12,1,-7.275958E-12
7,0,0,3,-5,0.0010648177,-0.5000684,-0.49882317,0.50004363,-3.74904E-12,1,-7.275958E-12
8,2,3,0,30,0.0006271812,-0.5002132,0.49933168,-0.49971953,0.0005439065,-0.99999976,-0.00034507833
8,2,3,1,111,0.00055201707,0.4997247,0.4994889,0.5001723,0.0005439065,-0.99999976,-0.00034507833
8,2,3,2,-5,0.00066879345,-0.5002131,0.49894503,0.50017226,0.0005439065,-0.99999976,-0.00034507833
8,2,3,3,94,0.0005104048,0.49972448,0.49987555,-0.49971953,0.0005439065,-0.99999976,-0.00034507833
8,0,1,0,109,0.0017655372,-0.49991125,0.4982518,-0.50000274,8.947114E-05,-1,5.424258E-06
8,0,1,1,62,0.001724208,0.50002015,0.49825847,0.49988008,8.947114E-05,-1,5.424258E-06
8,0,1,2,126,0.001853757,-0.49991125,0.498169,0.49988008,8.947114E-05,-1,5.424258E-06
8,0,1,3,-20,0.0016359882,0.5000202,0.49834126,-0.50000274,8.947114E-05,-1,5.424258E-06
8,1,2,0,-4,0.0013198149,-0.5000446,0.49867687,-0.49995905,8.947113E-05,-1,-0.00034507836
