step,pairA,pairB,contactIndex,featureId,depth,offsetX,offsetY,offsetZ,normalX,normalY,normalZ
35,0,1,2,109,-0.005938925,0.3644809,0.5047094,-0.4996488,-0.11187942,-0.9937218,0.0003111379
35,0,1,3,-21,0.008688156,0.50045425,0.49009413,0.49984503,-0.11187942,-0.9937218,0.0003111379
35,0,0,0,-21,0.0039723613,0.49857318,-0.4972958,0.50015503,1.7156754E-10,1,-2.910383E-11
35,0,0,1,-4,0.0014319321,-0.5014263,-0.4972958,-0.49984232,1.7156754E-10,1,-2.910383E-11
35,0,0,2,-20,0.004285068,0.49856964,-0.4972958,-0.49984494,1.7156754E-10,1,-2.910383E-11
35,0,0,3,-5,0.0011192256,-0.50142276,-0.4972958,0.50015765,1.7156754E-10,1,-2.910383E-11
36,0,1,0,94,0.006165996,0.49933088,0.49281436,-0.49952218,-0.21178326,-0.9773165,0.00074824365
36,0,1,1,45,-0.029213585,0.34090602,0.5283503,0.49951506,-0.21178326,-0.9773165,0.00074824365
36,0,1,2,109,-0.028778978,0.3404775,0.5272377,-0.49949238,-0.21178326,-0.9773165,0.00074824365
36,0,1,3,-21,0.005735405,0.49977767,0.49392298,0.49948218,-0.21178326,-0.9773165,0.00074824365
36,0,0,0,-21,0.0024344998,0.49936223,-0.49803567,0.500167,-3.126388E-12,1,0
36,0,0,1,-4,0.0014926118,-0.50099236,-0.49803567,-0.4994779,-3.126388E-12,1,0
36,0,0,2,-20,0.0031229802,0.4990063,-0.49803567,-0.49983272,-3.126388E-12,1,0
36,0,0,3,-5,0.0008041314,-0.5006364,-0.49803567,0.5005218,-3.126388E-12,1,0
37,0,1,0,94,0.002670288,0.4993066,0.49700058,-0.50012577,-0.31207597,-0.9500571,0.00037872058
37,0,1,1,45,-0.05854377,0.3232684,0.555562,0.49972698,-0.31207597,-0.9500571,0.00037872058
37,0,1,2,109,-0.058211893,0.3228341,0.5549685,-0.5000835,-0.31207597,-0.9500571,0.00037872058
37,0,1,3,-21,0.0023494884,0.499773,0.4975836,0.49967843,-0.31207597,-0.9500571,0.00037872058
37,0,0,0,-21,0.0012921277,0.49985984,-0.49889183,0.4999561,-2.5579538E-11,0.9999999,0
37,0,0,1,-4,0.0009239138,-0.5005062,-0.49889183,-0.49967757,-2.5579538E-11,0.9999999,0
37,0,0,2,-20,0.0015704123,0.49949348,-0.49889183,-0.50004375,-2.5579538E-11,0.9999999,0
37,0,0,3,-5,0.00064562913,-0.5001399,-0.49889183,0.5003223,-2.5579538E-11,0.9999999,0
38,0,1,0,-20,0.00038172305,0.49978068,0.49953038,-0.5001844,-0.40899757,-0.9125355,0.0001522192
38,0,1,1,126,-0.09196408,0.31219235,0.583856,0.49945846,-0.40899757,-0.9125355,0.0001522192
38,0,1,2,109,-0.09188385,0.3118067,0.58378017,-0.5001157,-0.40899757,-0.9125355,0.0001522192
38,0,1,3,62,0.00030693412,0.5001774,0.49960124,0.49939236,-0.40899757,-0.9125355,0.0001522192
38,0,0,0,-21,0.00073199166,0.5000631,-0.49938667,0.49981815,-1.180267E-11,1,0
38,0,0,1,-4,0.0004946719,-0.5003031,-0.49938667,-0.49981543,-1.180267E-11,1,0
38,0,0,2,-20,0.0007346211,0.49969685,-0.49938667,-0.50018173,-1.180267E-11,1,0
38,0,0,3,-5,0.0004920425,-0.49993682,-0.49938667,0.5001845,-1.180267E-11,1,0
39,0,1,0,62,-0.0009890497,0.5007142,0.50079006,0.4990339,-0.5015012,-0.86515695,0.00013125743
39,0,1,1,109,-0.1304473,0.3078251,0.6128706,-0.5000757,-0.5015012,-0.86515695,0.00013125743
39,0,1,2,-20,-0.001353249,0.50053084,0.50116575,-0.500153,-0.5015012,-0.86515695,0.00013125743
39,0,1,3,126,-0.130016,0.30810863,0.61243683,0.499137,-0.5015012,-0.86515695,0.00013125743
